client_id,round,timestamp,mu_boundary_hits_min,final_train_loss,mu_range_min,mu_range_mean,mu_adaptations,final_mu,loss,final_learning_rate,mu_boundary_hits_max,mu_decreases,final_val_loss,epochs_trained,mu_increases,mu_adaptation_rate,mu_range_max
755626,1,2025-08-29T12:52:01.804060,0,0.8645503459006486,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.40100399892692,0.0004995066821070679,0,3,0.39070319809818504,10,0,0.3,0.05
178375,1,2025-08-29T12:52:01.804126,0,1.1530833435526846,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.6698635864374876,0.0004995066821070679,0,3,0.5336823069327397,10,0,0.3,0.05
579795,1,2025-08-29T12:52:01.804173,0,1.1602814478851924,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.5963846872064555,0.0004995066821070679,0,3,0.6103904678040192,10,0,0.3,0.05
160027,1,2025-08-29T12:52:01.804217,0,1.2489702829449252,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.7021924564629947,0.0004995066821070679,0,3,0.4787944262514738,10,0,0.3,0.05
694039,1,2025-08-29T12:52:01.804255,0,0.9220065753641906,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.4570929322406205,0.0004995066821070679,0,3,0.4048525037154806,10,0,0.3,0.05
544731,1,2025-08-29T12:52:01.804296,0,1.2629679108836234,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.7389965007348898,0.0004995066821070679,0,3,0.5597893548264744,10,0,0.3,0.05
123935,1,2025-08-29T12:52:01.804336,0,1.0985287811074937,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.607713455600398,0.0004995066821070679,0,3,0.5205911212866005,10,0,0.3,0.05
1400,1,2025-08-29T12:52:01.804372,0,1.2009219315246327,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,1.6144570047176257,0.0004995066821070679,0,3,0.5409921540709188,10,0,0.3,0.05
123935,2,2025-08-29T12:53:29.500670,0,0.46834501943417955,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5783796355128288,0.0004980286753286195,0,8,0.29687396355563617,10,0,0.4,0.05
1400,2,2025-08-29T12:53:29.500688,0,0.4941870634644792,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5859037831845577,0.0004980286753286195,0,8,0.29962278025257433,10,0,0.4,0.05
755626,2,2025-08-29T12:53:29.500694,0,0.4503148017207203,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5461471740768258,0.0004980286753286195,0,8,0.23566799261549168,10,0,0.4,0.05
160027,2,2025-08-29T12:53:29.500702,0,0.4770051458580892,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5954968172123466,0.0004980286753286195,0,8,0.30962051579305827,10,0,0.4,0.05
178375,2,2025-08-29T12:53:29.500708,0,0.5307159302619007,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5970132220152357,0.0004980286753286195,0,8,0.2974276944092565,10,0,0.4,0.05
951946,2,2025-08-29T12:53:29.500827,0,0.5396854809316924,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,0.6309937644015027,0.0004980286753286195,0,3,0.2711050146074925,10,0,0.3,0.05
579795,2,2025-08-29T12:53:29.500838,0,0.4667257227908785,0.008388608000000004,0.024049507555555558,8,0.008388608000000004,0.5759809298771564,0.0004980286753286195,0,8,0.2951477213400085,10,0,0.4,0.05
305869,2,2025-08-29T12:53:29.500893,0,0.5249067553874454,0.025600000000000008,0.03690000000000001,3,0.025600000000000008,0.6461152344778415,0.0004980286753286195,0,3,0.30998852761719514,10,0,0.3,0.05
123935,3,2025-08-29T12:54:52.876813,0,0.3268061104629721,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.3445163814617055,0.0004955718126821722,0,10,0.23493444830243032,10,0,0.3333333333333333,0.05
544731,3,2025-08-29T12:54:52.876832,0,0.3637677903871686,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.3796208541931738,0.0004955718126821722,0,5,0.218380743454875,10,0,0.25,0.05
178375,3,2025-08-29T12:54:52.876839,0,0.3117055796245311,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.3385999826065062,0.0004955718126821722,0,10,0.22126339578394413,10,0,0.3333333333333333,0.05
305869,3,2025-08-29T12:54:52.876845,0,0.34969076472934957,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.3548326949287174,0.0004955718126821722,0,5,0.24007554308639908,10,0,0.25,0.05
