fold,epoch,train_loss,train_acc,train_roc_auc,train_precision,train_recall,train_f1,test_loss,test_acc,test_roc_auc,test_precision,test_recall,test_f1,lr
1,1,1.0165306719616778,0.7028132660184088,0.7604552142037292,0.696729279688921,0.7201011214105141,0.7082224311875428,0.2302697908419829,0.9020193493928965,0.9744018976947972,0.9591922591501894,0.8488458674609084,0.90065178747778,0.001
1,2,0.253630674435097,0.904969075177351,0.9646470035887378,0.9204741160976598,0.8862372793185291,0.9030313069405334,0.1870908085256815,0.925848970846049,0.9805568943557681,0.9441304906241973,0.9122611069744353,0.9279222418581167,0.001
1,3,0.2129608176793288,0.9211051768640119,0.9737529243028263,0.9302904564315353,0.9103459477018028,0.9202101461172222,0.17661474630809748,0.933316018440361,0.982730153276935,0.9363286583095445,0.9362124596674113,0.9362705553831834,0.001
1,4,0.20061393957404258,0.9264459992532589,0.9762328909788567,0.9315652145192721,0.9198082441951474,0.9256493985986446,0.16812129891835725,0.933640672683592,0.9838011540125458,0.924469111969112,0.9508562918838421,0.9374770586076104,0.001
1,5,0.19505393617216824,0.9300498368532978,0.9771199695602714,0.9371162606456724,0.9219303088364239,0.9294612601699216,0.16229389894467133,0.9384455554834101,0.9842464818341572,0.9485238455715367,0.9329858525688757,0.9406906906906907,0.001
1,6,0.18541073828067595,0.9313972175776367,0.9791353132192113,0.9357786103990009,0.9260994015092375,0.930913846656858,0.16371641881190813,0.9363028374780858,0.9840792346188756,0.9413745790195834,0.9365847604864731,0.9389735614307931,0.001
1,7,0.18134578085929445,0.9335238064317137,0.9800178150274318,0.9394673123486683,0.9274800529767097,0.9334351988816463,0.1585136024424663,0.9373417310564249,0.9846055918234364,0.9480732785849653,0.9312484487465872,0.9395855506166656,0.001
1,8,0.17775344168676913,0.934952354669567,0.9807356806807788,0.9393658568875356,0.9288215466177963,0.9340639449737539,0.15386059393103307,0.9390948639698721,0.9857331331369295,0.9531568228105907,0.9292628443782577,0.9410581877592057,0.001
1,9,0.17682516278283109,0.9329881008425188,0.9808745007179862,0.9391149391149392,0.9257343612764711,0.93237664635345,0.15804562302163014,0.9385104863320564,0.9851073334692807,0.9541448460850683,0.9270290394638868,0.9403915150752188,0.001
1,10,0.17417391592148437,0.935893897826334,0.981269920919368,0.9402063210460608,0.9307574722737177,0.9354580371005966,0.15722350432322577,0.9387702097266412,0.985002660305594,0.954516417529066,0.9271531397369074,0.9406358199559333,0.001
1,11,0.17073404781737375,0.9366568724533693,0.9819366835436247,0.94049008168028,0.9335306608326362,0.9369974488972131,0.15111483676502338,0.9390948639698721,0.9857346964319389,0.9446665001249063,0.9385703648548027,0.9416085657370518,0.001
1,12,0.17088975359513922,0.9359425983344426,0.9820128522943937,0.9395382207148447,0.9323021163678726,0.9359061819835623,0.14993124483869627,0.941107720277904,0.9859200609688433,0.9457673606782196,0.9414246711342765,0.9435910193419988,0.001
1,13,0.1701888280730803,0.9366568724533693,0.981873206953007,0.9416882818399711,0.9309897101308144,0.936308435622878,0.15225299619711363,0.9396143107590417,0.9859538872927506,0.9391325776244456,0.9458922809630181,0.9425003091381229,0.001
1,14,0.1666412430191503,0.9383613902371715,0.9825960204984265,0.9424516633031703,0.9345124745828357,0.9384652783404911,0.15075961400109988,0.9412375819751965,0.9856670944855841,0.9408356957968692,0.9472573839662447,0.9440356193185332,0.001
1,15,0.16314462474682956,0.9398224054804305,0.9830780618448317,0.9440671849883542,0.9349577647823262,0.9394903938755856,0.14923088266872442,0.942471268099474,0.9862365648314328,0.9554229108458216,0.9336063539339786,0.9443886517700226,0.001
1,16,0.16675584593299522,0.9368516744858038,0.9825895150191843,0.9421403807156408,0.9314169307378904,0.9367479674796748,0.1432958670820181,0.9438348159210441,0.9870884761091512,0.9481619937694704,0.9442789774137503,0.9462165018964124,0.001
1,17,0.16039826460544346,0.9411210856966608,0.9838095323477973,0.946005310953021,0.9357893371384096,0.9408695935701593,0.14562156452582434,0.9426011297967665,0.9867581391982891,0.9560132214594457,0.9332340531149168,0.9444863099723687,0.001
1,18,0.15941047885464232,0.9407639486371975,0.983987876288331,0.9443013207239523,0.9371804000258916,0.9407273849552491,0.14607912187392896,0.9432504382832284,0.9872384763778687,0.9371957156767283,0.955572102258625,0.9462947032075704,0.001
1,19,0.15899715333887673,0.9417704258047759,0.9837342781398932,0.9479757351971515,0.9346942755908071,0.941288157787053,0.13914976333482906,0.9466917732614766,0.9880475111211118,0.9543000627746391,0.9432861752295855,0.9487611558384822,0.001
1,20,0.15889652246989092,0.9412509537182838,0.9839413202219662,0.946521610905397,0.9356374708473698,0.9410480705012298,0.14056799961970404,0.9456528796831375,0.9879326300635253,0.9457957772564514,0.950608091337801,0.9481958284334964,0.001
1,21,0.1537864333723934,0.943101573026412,0.9849156926846061,0.9487406242835151,0.937229017019349,0.9429496882985823,0.14053386492797962,0.9477955976884618,0.9879088933301114,0.9600456621004566,0.9393149664929263,0.9495671810312383,0.001
1,22,0.1565460687123456,0.9430691060210061,0.9842629549119548,0.9463781440861627,0.9389477113536406,0.942648285335819,0.1379502975883392,0.9481202519316927,0.9879959223857997,0.9510376537840189,0.9497393894266567,0.9503880782365725,0.001
1,23,0.15515272923320242,0.9431178065291148,0.9846481566001966,0.946432679351934,0.9389039220161054,0.9426532683054565,0.1362045894448574,0.9485747678722161,0.9885491260133067,0.958943911066195,0.9420451724993795,0.9504194315763115,0.001
1,24,0.1534809368183312,0.9436372786156069,0.9849279113929847,0.9474597354982323,0.9394027913015255,0.9434140617360409,0.1309819408477499,0.9515615869099409,0.9891465497639729,0.9614996213077506,0.9452717795979151,0.953316645807259,0.001
1,25,0.15070113897757623,0.9444489537507508,0.9855564789355308,0.9463949639820884,0.9427851047323507,0.944586585484341,0.13086757436394691,0.9507174858775405,0.9891972765744687,0.9552201571660222,0.9503598907917598,0.9527838258164852,0.001
1,26,0.15607044147779642,0.942679501956137,0.9845081569169778,0.9447215025906736,0.9411555957028099,0.9429351778528371,0.1303152278638803,0.9526654113369262,0.9893480035641097,0.9583489681050656,0.9508562918838421,0.9545879274901887,0.001
1,27,0.15028600029430342,0.9451956948750831,0.9856714130781654,0.9459996094004297,0.9442170240415855,0.9451074761796364,0.1277060922808372,0.9524056879423414,0.9898118712195089,0.9484510836292396,0.9612807148175726,0.9548228043143298,0.001
