epoch,train_loss,train_acc,train_roc_auc,train_precision,train_recall,train_f1,test_loss,test_acc,test_roc_auc,test_precision,test_recall,test_f1,lr
1,0.22526206400839735,0.9059634814680139,0.9691485315714119,0.9082191066868192,0.9035804101527054,0.9058938202612256,0.15416442602872849,0.9393030233094853,0.985694425801998,0.9297576301615799,0.9511019283746557,0.9403086699954607,0.001
2,0.1609849726005751,0.9366639827536947,0.9838665761010607,0.9410738464743256,0.9325506386272739,0.9367928563096981,0.14400499429682206,0.9427648280636972,0.9872399911368482,0.9374433363553943,0.9494949494949495,0.9434306569343066,0.001
3,0.15200365062237714,0.9411313991844368,0.985467293765898,0.9451465729718391,0.9365759866968068,0.9408417618270799,0.14488265567041678,0.9449573044080314,0.9864944530732341,0.9414978374687002,0.9494949494949495,0.9454794833695279,0.001
4,0.1380868257541601,0.9468065764525597,0.9879614806893763,0.9506410924632545,0.943071354705274,0.9468410943259098,0.14254492970890012,0.9450726978998385,0.9872077130725095,0.9379232505643341,0.9538567493112947,0.9458229000682905,0.001
5,0.1332858903514736,0.9484688709384171,0.9888531046417811,0.9523385067114094,0.9441210105000519,0.9482119551031062,0.13824835984871306,0.9483037156704361,0.9874833016944384,0.9432849364791288,0.9545454545454546,0.9488817891373802,0.001
6,0.12487769567548997,0.9510012726942157,0.9901440752218118,0.9541429475015812,0.9468316028977168,0.9504732151061288,0.13877208852048578,0.949688437572121,0.9876246647022855,0.9483074107959744,0.9517906336088154,0.9500458295142071,0.001
7,0.12534670798463116,0.9510402327212281,0.9901435393167364,0.9545537506844315,0.9475373346791935,0.9510326016365762,0.13852205397240047,0.9501500115393492,0.9879453946765695,0.9420910319963948,0.9598255280073462,0.9508755969979531,0.001
8,0.11666602966038633,0.9543907950442846,0.9913804800485376,0.9577823926815804,0.9502882032289194,0.9540205807651018,0.1373440955348056,0.9499192245557351,0.9887316265374692,0.9418657052726453,0.9595959595959596,0.950648169206277,0.001
9,0.11318322014541941,0.9572089036648399,0.9918801632723926,0.9587390014057375,0.9556293624639975,0.9571816563356854,0.13755284808576107,0.949688437572121,0.9888129874999734,0.9386750223813787,0.9628099173553719,0.9505893019038985,0.001
10,0.10588723223960816,0.9597023453936261,0.9929037502948113,0.9625985789021628,0.956895213454075,0.9597384230125469,0.13298962795143499,0.9524578813754904,0.9890533951623383,0.9543778801843318,0.950872359963269,0.952621895124195,0.001
11,0.10426081416961748,0.9596244253396016,0.9931197301718458,0.963391690619284,0.9557249138087461,0.959542988015147,0.14350751087326427,0.9472651742441727,0.9881736048525757,0.9391754899752196,0.9570707070707071,0.9480386583285958,0.001
12,0.09881317860479484,0.9616373600685697,0.993817875012578,0.9635213880686718,0.9594598110900054,0.9614863102998696,0.15571455406988488,0.9451880913916455,0.9861901018197158,0.9351872617178739,0.9573002754820936,0.9461145774248441,0.001
