fold,final_test_loss,final_test_accuracy,final_test_roc_auc,final_test_precision,final_test_recall,final_test_f1,best_test_loss,epochs_trained
1,0.10902843610025369,0.9613012142068696,0.9926170139834964,0.9673096192384769,0.9584264085380988,0.9628475252462286,0.10902843610025369,78
2,0.10864219062316877,0.9604571131744692,0.9930076962885577,0.9607598100474881,0.963046473756733,0.9619017829214889,0.10864219062316877,85
3,0.1078006920333092,0.9594805194805195,0.9930466228627637,0.9535549744739136,0.9682640030345177,0.960853199498118,0.1078006920333092,98
4,0.10699208832990664,0.9611038961038961,0.9927850294858962,0.9664938677456063,0.9581348708949612,0.9622962170327941,0.10699208832990664,86
5,0.10942163422273901,0.9612987012987013,0.9922566063679726,0.965036705238273,0.9609713790112749,0.9629997516761858,0.10942163422273901,85
